# список Сериалов 
# разделяется символом <|> 
# поисковая строка|название программы
# 
# например: 
# «Улицы разбитых фонарей|«Улицы разбитых фонарей»

Улицы разбитых фонарей|Улицы разбитых фонарей


# Пятый канал	 
Чужой район-3|Чужой район-3
Лесник|Лесник
След|След
Детективы|Детективы
Свои-5|Свои-5
На рубеже. Ответный удар|На рубеже. Ответный удар
Немедленное реагирование|Немедленное реагирование
Такая работа|Такая работа
Наводчица|Наводчица
Прокурорская проверка|Прокурорская проверка
Отставник|Отставник

# Культура
"София". Телесериал|София
#Хождение Кутузова за море|Хождение Кутузова за море

